"transcript_id","is_correlated","is_discordant","gene_id","ccle_transcript_pearson","ccle_gene_pearson","ccle_transcript_spearman","ccle_gene_spearman","tsoi_transcript_pearson","tsoi_transcript_spearman","PRJNA704810_OE_MITF/CON","GSE163646_OE_MITF/CON","PRJEB30337_siCON/siMITF","GSE163646_siCON/siMITF","GSE283655_siCON/siMITF","GSE115845_siCON/siMITF","has_peak_GSE153020_Kenny","has_peak_GSE61965_Laurette","has_peak_GSE77437_Louph","ccle_mean_transcript_expression","tsoi_mean_transcript_expression","ccle_mean_gene_expression","tsoi_mean_gene_expression","ccle_mean_transcript_expression_mitf_high","ccle_mean_gene_expression_mitf_high","tsoi_mean_transcript_expression_mitf_high","tsoi_mean_gene_expression_mitf_high","EBOX_n"
"ENST00000295408",TRUE,FALSE,"MERTK",0.504619095126857,0.575050708183222,0.533670387564467,0.636660442676659,0.540312580009211,0.537408131547716,1.58957936278911,1.38495374367858,0.424295573014663,0.671619813634154,0.608741469870549,1.50939938441429,FALSE,FALSE,FALSE,0.98902340336152,0.85362787633781,1.95502241284146,1.53241314715225,1.39133367018994,2.71001797176567,1.48819363548736,2.50114282187155,1
"ENST00000296126",TRUE,FALSE,"WDR43",0.611089929315828,0.449942377929521,0.670806256856731,0.539787751313635,0.666140300635993,0.716537659184881,1.65721577365229,0.420318159574384,0.334666547485402,0.513454204554876,0.45463954809311,0.489274183714354,TRUE,FALSE,FALSE,1.17551350238243,0.477565688769458,5.18988252216677,5.04058637372356,1.93948354838067,5.38073090440301,0.822043527243921,5.10285414183494,2
"ENST00000296233",TRUE,FALSE,"KLF15",0.575859348373744,0.577969501904658,0.557714063046426,0.549785962834875,0.722685381943342,0.742312888055037,1.55292227083671,0.628057482249524,0.725885957600198,0.516164629475158,0.83036676478122,0.673610288063893,TRUE,TRUE,TRUE,1.81959761565232,1.34792741095244,1.87224564787106,1.36681033038889,2.24396200806298,2.28660819719419,1.76468235342273,1.7894434607863,2
"ENST00000296417",TRUE,FALSE,"H2AZ1",0.546786778761008,0.554916042302696,0.559330690371606,0.556661797795829,0.568358491083579,0.606000084031943,1.57818668913242,1.07206022485518,0.743251813590995,0.705202974590802,0.600065332759738,0.628734386111918,FALSE,FALSE,FALSE,9.75565672089085,8.83053848179962,9.86051627177659,8.900023135436,10.1070658307457,10.2047420344824,9.17189155362627,9.23409049378564,3
"ENST00000296522",TRUE,FALSE,"HPGD",0.638861070796688,0.706337370555341,0.728928171104553,0.749914877303733,0.485919404839341,0.507660760101698,9.82589487095083,0.0933165109219637,2.73351277623808,0.737106246943818,0.574048948411328,1.41175793163826,FALSE,FALSE,FALSE,1.24962941371895,0.2669358630248,1.7822720508086,0.95014327845892,2.03480426444255,2.73769933481223,0.485270583000763,1.61137293017778,1
"ENST00000296529",TRUE,FALSE,"TMEM144",0.569953491985206,0.549474947341791,0.613920666851599,0.591730209163282,0.533372931930002,0.496243747461916,1.39998546348361,0.732312872409968,0.875353431905951,0.47960439264684,0.49368142358632,0.195370249402297,FALSE,FALSE,FALSE,1.55310908526988,1.05325839659954,2.04025242685649,1.40979160620512,2.01416768913481,2.52163459557659,1.46420845850025,1.86789496534133,4
"ENST00000296589",TRUE,FALSE,"SLC45A2",0.804301481968337,0.784506630204092,0.800878061835012,0.762411960956785,0.64414561037251,0.492116666137349,7.99664240474698,0.0786158110761486,5.6495902457638,0.649333750959241,0.837338213916668,0.367965293355703,TRUE,TRUE,TRUE,3.78472609356193,2.15972158269916,4.39081027179576,2.51274646099138,5.99289273462083,6.79916338714448,3.82320584592763,4.39484499168098,55
"ENST00000297323",TRUE,FALSE,"ADCY1",0.635733806503064,0.610309977139955,0.557057815792072,0.534876824857337,0.579710875603592,0.572045932639816,3.23658673835178,2.75869802617642,0.987995509530125,0.596521577882494,0.638600093012272,0.269766796895107,FALSE,FALSE,FALSE,3.0020392424706,2.1346159337735,3.38340853192837,2.70534612420657,3.74616172597132,4.06780464651361,2.86974521258919,3.53713013677828,2
"ENST00000299314",TRUE,FALSE,"GNPTAB",0.761711961406382,0.772618228832405,0.715424429546935,0.713681644337367,0.798519694655475,0.769674688550572,2.66251439256848,1.2803058596159,1.19693815953106,0.379979259755628,0.404016781844777,0.409583252358075,FALSE,FALSE,FALSE,4.91245706791305,3.92649641428537,5.15736298953599,4.21162281532422,5.63012546728092,5.83243835143744,4.87277426543847,5.11845073590596,2
"ENST00000299518",TRUE,FALSE,"IDH3A",0.560969469155451,0.544507856547087,0.626631337893425,0.589226680459114,0.529840502935351,0.527388071727414,0.625897983676193,0.795069591334106,1.46341828181044,0.812708153300369,0.932133014595379,2.6268872845267,FALSE,FALSE,FALSE,3.33207792714786,0.716483699008795,6.1142007124162,5.89005144177407,3.81489098911244,6.46280017080943,0.904731446078687,6.16797593636031,1
